Date,Open,High,Low,Close,Adj Close,Volume
2019-09-20,224.032593,231.509491,218.721542,226.789368,226.789368,10540237773
2019-09-21,226.669708,234.133209,216.164948,218.924805,218.924805,10466961223
2019-09-22,218.910522,219.570557,200.384674,207.230042,207.230042,9981519416
2019-09-23,207.856491,207.856491,182.669556,182.669556,182.669556,9181579647
2019-09-24,182.853210,188.421936,148.553375,159.096512,159.096512,13359676732
2019-09-25,158.494278,172.166367,153.662277,163.527039,163.527039,12611546879
2019-09-26,163.341202,166.884384,148.140060,157.698349,157.698349,9967855466
2019-09-27,157.863815,162.025146,153.065414,161.904770,161.904770,7999053920
2019-09-28,161.811249,163.276520,156.269974,160.914993,160.914993,6826170227
2019-09-29,160.524857,161.341003,149.622910,155.575302,155.575302,7522494785
2019-09-30,155.604218,187.319366,154.248108,185.820724,185.820724,9662945854
2019-10-01,186.985291,186.985291,177.375565,181.359299,181.359299,8457191451
2019-10-02,181.359299,186.241669,173.607727,185.278625,185.278625,8267822636
2019-10-03,185.400497,189.159180,178.868301,183.362183,183.362183,8011345270
2019-10-04,183.189728,185.283844,177.031342,183.158401,183.158401,6645344497
2019-10-05,183.158401,196.450272,181.312332,194.530167,194.530167,7493221853
2019-10-06,194.758682,196.384979,184.747025,188.883347,188.883347,7080079145
2019-10-07,189.217529,209.121521,183.084122,206.822159,206.822159,8298759387
2019-10-08,206.804138,217.295456,202.549789,207.544128,207.544128,10236380289
2019-10-09,207.511063,214.953690,202.018478,207.104477,207.104477,9472988849
2019-10-10,207.006973,213.007034,194.481384,206.159866,206.159866,12080104748
2019-10-11,206.268539,206.747696,195.596268,201.458710,201.458710,10482499220
2019-10-12,201.458710,204.229172,199.137192,201.754486,201.754486,9238817979
2019-10-13,201.723755,207.557556,199.145020,204.218185,204.218185,9800502753
2019-10-14,204.218185,222.368729,204.161728,221.006851,221.006851,11454765897
2019-10-15,220.844391,224.604507,208.324371,210.899445,210.899445,11414070276
2019-10-16,210.843246,211.771317,194.237991,203.526489,203.526489,10407031326
2019-10-17,203.565292,210.788651,197.403351,207.656647,207.656647,9254795498
2019-10-18,207.741028,208.306091,193.128525,195.770233,195.770233,9921335451
2019-10-19,195.697723,199.734131,192.962906,196.288513,196.288513,8758781566
2019-10-20,196.392212,208.852905,192.653198,206.306076,206.306076,8774137153
2019-10-21,206.791550,212.876190,202.317780,212.000565,212.000565,9809945112
2019-10-22,212.208679,214.093033,202.982849,203.930481,203.930481,9869121043
2019-10-23,203.804642,206.016953,184.037323,190.176315,190.176315,10942879761
2019-10-24,190.198273,203.527145,188.502319,202.259811,202.259811,8595561667
2019-10-25,202.353546,219.988708,197.989380,213.649246,213.649246,14320443975
2019-10-26,213.719803,231.744751,213.422607,218.731705,218.731705,17499925692
2019-10-27,218.731705,233.294525,210.988647,226.892105,226.892105,14342826491
2019-10-28,226.919846,235.761963,217.730606,220.354691,220.354691,14220488982
